"","Log2FC","Std.Error","df","t value","Pr(>|t|)","FDR","diffexpressed","delabel"
"VRK2",0.530757796364974,0.236738160059785,44.2893324563858,2.24196131384538,0.0300207736276068,0.192604003168218,"NO",NA
"ANP32A",-0.110384226173229,0.209138682105143,27.4093954429084,-0.527803967501977,0.601882523747879,0.826494801560119,"NO",NA
"SMC1A",-0.0599454832169699,0.231972047264391,26.9891027924796,-0.258416839114441,0.798045775921643,0.921147199815247,"NO",NA
"NPEPPS",-0.262673746590182,0.257360177489944,56.3800012783435,-1.02064643081949,0.311781705443291,0.628249023148056,"NO",NA
"NCOR1",0.245394544731654,0.218706324866744,35.1860695957243,1.12202765457821,0.269449413620487,0.593612117903758,"NO",NA
"NCOR2",0.265322098626631,0.2645783203124,27.622726394349,1.00281118389955,0.324656284294623,0.636274365840294,"NO",NA
"PCGF3",-0.203340558063584,0.266860919015261,43.4121039663333,-0.761972037021857,0.450196775322807,0.73186333237912,"NO",NA
"CDIPT",-0.250503100823132,0.305825647887143,42.4049352505061,-0.819104292114747,0.417306755785424,0.706875588584652,"NO",NA
"PGRMC2",0.288569088568658,0.177490919337979,56.6435319402497,1.62582451905139,0.109538490908616,0.386701927634219,"NO",NA
"ARIH2",-0.169073058534075,0.230910688446888,56.9999999990541,-0.732201093293974,0.467045928816824,0.740527387352877,"NO",NA
"CFDP1",0.0370265168042899,0.191605150212925,35.2908164961871,0.193243849464085,0.847875902886463,0.941945532193453,"NO",NA
"RAN",0.627498358601154,0.166117705566914,25.6068349538982,3.77743213138946,0.000849222689913179,0.0217352523522334,"NO",NA
"RBM14",-0.565903970365748,0.283365558757944,56.9999999993831,-1.99708098911609,0.0505986495709319,0.254181117840647,"NO",NA
"FBLN5",0.201835816821753,0.362153981035869,56.9132417364323,0.55732044210709,0.579493918202403,0.810995447721831,"NO",NA
"LYPLA1",-0.297172319770296,0.313944337597412,30.0210280511395,-0.946576460160198,0.351411960256032,0.658927491527311,"NO",NA
"EMG1",-0.222705907511532,0.254148224756281,57.000000000257,-0.876283545655686,0.384553994178356,0.682309369852077,"NO",NA
"IFI30",1.25528074266876,0.411154733548492,48.1776549634787,3.05306163408359,0.00368170723578405,0.0539360265905369,"NO",NA
"TIMM17A",-0.601294205626537,0.269223718446193,51.9889426054505,-2.23343696869231,0.029848774746037,0.191725013872845,"NO",NA
"ZER1",-0.126846995509404,0.27521633301172,42.507660534064,-0.460899228331781,0.647220459896505,0.849776103456812,"NO",NA
"HMG20B",-0.809093923080139,0.245776344507908,52.502203972467,-3.29199266389979,0.0017832345107535,0.0331198029980285,"NO",NA
"TACC3",-0.646986864548638,0.307156027998816,43.4990500636966,-2.1063785358988,0.0409769868111258,0.22655187763689,"NO",NA
"SLC30A9",0.0119340475786017,0.316357257858346,37.7156581418415,0.0377233247607214,0.970107248183774,0.991052069350541,"NO",NA
"COG5",-0.0895230385184766,0.251010456968096,56.9999999991177,-0.35665063360231,0.722670269605058,0.887050383135861,"NO",NA
"ZNHIT1",0.353010170650114,0.249482361545255,50.8387540122321,1.41497045507997,0.163173483300165,0.472461615842376,"NO",NA
"HMGN4",0.495735595062193,0.199814980235754,34.2982664472121,2.48097312062035,0.0181623083655562,0.14302730657194,"NO",NA
"ATP5PD",-0.126644600624765,0.245974995272931,55.966648978891,-0.51486778354947,0.608672949548456,0.830408140083663,"NO",NA
"UBE2E3",-0.438171924032613,0.295671193577547,56.6377587249934,-1.48195675990902,0.1438945468019,0.445497295117081,"NO",NA
"EIF3M",0.185235279143119,0.202102645231565,42.7617027508663,0.916540597135082,0.364523728920684,0.666649748410947,"NO",NA
"NXF1",-0.191025596012133,0.22751198430542,56.9999999991065,-0.839628719319212,0.404624493044116,0.697002302066083,"NO",NA
"CAP1",0.393663642856926,0.231788462386215,50.7174305366207,1.69837462488097,0.0955649338003854,0.361602397991928,"NO",NA
"CREB3",-0.293350029633045,0.269121770535058,56.4656304622793,-1.09002712433787,0.280331165599053,0.601973695064168,"NO",NA
"LRRC41",-0.220238670964313,0.292897330174137,54.8050178563458,-0.751931302458012,0.455309630460021,0.734274350144217,"NO",NA
"VAT1",0.396999577072356,0.328779356088862,40.288290228764,1.20749545164586,0.234282631013936,0.553529338217056,"NO",NA
"SEMA3C",0.239442250566359,0.416056240985899,50.7561881163731,0.575504527943073,0.567492969843964,0.803632947852156,"NO",NA
"CHERP",-0.427512097524625,0.244590376550143,30.2095488733678,-1.74786965683002,0.0906451092399462,0.351244583906311,"NO",NA
"HYOU1",0.602102339512034,0.318031833619323,54.7399120081902,1.89321406181224,0.0636203012311135,0.29169508823872,"NO",NA
"IPO7",0.290196432778526,0.24608465361436,33.0083223343669,1.17925449034012,0.24672716197001,0.568468511536452,"NO",NA
"DCTN2",-0.281804646311302,0.289136318683474,32.4779131809614,-0.974642852182818,0.336941321212723,0.646688653001586,"NO",NA
"LAMTOR5",-0.16208696420215,0.28314708941597,47.2472071196128,-0.572447926399233,0.569732683705508,0.80522090755547,"NO",NA
"PRDX4",0.701913881919367,0.323141422207637,56.6131506666584,2.1721569371207,0.0340467623809808,0.206123990149606,"NO",NA
"ARL6IP5",0.554168771917546,0.229035827081348,39.0988084944543,2.41957242663489,0.0202884814032931,0.152274780285813,"NO",NA
